id,sampledSeconds,traveltime,overlapTraveltime,density,laneDensity,occupancy,waitingTime,timeLoss,speed,speedRelative,departed,arrived,entered,left,laneChangedFrom,laneChangedTo,interval
1220107500,2659.29,82.67,83.31,0.88,0.88,0.44,0,207.7,10.12,0.91,0,3,31,29,0,0,21
1220107600,335.21,47.67,48.4,0.19,0.19,0.1,0,39.91,10.02,0.9,7,0,0,7,0,0,21
1220107700,5736.14,94.63,95.25,1.63,1.63,0.81,0,426.36,10.33,0.93,0,15,60,47,0,0,21
1220109300,71.83,35.24,35.92,0.07,0.07,0.03,0,5.82,7.98,0.96,0,1,2,1,0,0,21
1220109400,281.23,12.09,12.97,0.9,0.9,0.43,0,42.73,7.09,0.85,5,3,17,19,0,0,21
1220109500,1335.33,24.81,25.57,1.99,1.99,0.97,0,163.32,7.48,0.9,25,13,28,40,0,0,21
1220109600,412.03,37.27,37.93,0.42,0.42,0.21,0,42.31,7.37,0.88,6,2,5,9,0,0,21
1220109700,443.47,88.12,90.72,0.73,0.73,0.36,0,112.03,1.91,0.69,0,5,5,0,0,0,21
1220109800,1122.12,46.42,47.18,0.94,0.47,0.23,0,111.4,7.17,0.86,13,3,11,21,0,0,21
1220109900,526.51,37.1,38.18,0.6,0.6,0.3,41,112.87,6.5,0.78,9,5,5,9,0,0,21
1220110000,831.85,64.2,64.9,0.47,0.24,0.12,0,75.29,7.58,0.91,4,7,9,7,15,15,21
1220110100,1332.24,77.85,78.59,0.62,0.31,0.15,0,115.13,7.7,0.92,4,5,13,12,1,1,21
1220110200,373.67,18.2,19.15,0.86,0.43,0.21,15,82.08,6.58,0.79,13,0,7,21,7,7,21
1220110300,135.95,10.95,11.67,0.48,0.48,0.23,0,13.8,7.19,0.86,2,6,10,6,0,0,21
1220110400,269.32,17.37,18.07,0.56,0.19,0.09,0,26.94,7.6,0.91,1,6,14,9,8,8,21
1220110500,75.92,10.39,11.18,0.31,0.15,0.07,0,13.62,6.6,0.79,3,0,4,7,3,3,21
1220110600,44.25,14.52,14.75,0.04,0.04,0.02,0,1.31,21.91,0.99,0,3,3,0,0,0,21
1220110700,279.03,69.75,70.46,0.15,0.15,0.08,0,28.17,7.24,0.87,4,0,0,4,0,0,21
1220110800,307.59,20.97,22.06,0.58,0.58,0.28,4,42.92,6.91,0.83,1,2,13,12,0,0,21
1220110900,261.94,16.94,17.6,0.57,0.57,0.28,0,27.52,7.49,0.9,3,0,12,15,0,0,21
1220111000,204.65,16.27,17.05,0.45,0.45,0.21,0,16.89,7.73,0.93,0,0,12,12,0,0,21
1220321100,557.07,62.99,64.41,1.23,1.23,0.61,10,151.73,2.03,0.73,9,0,0,9,0,0,21
1220321200,669.7,60.52,62.9,1.48,1.48,0.73,0,157.73,2.07,0.75,0,11,11,0,0,0,21
1220321700,350.93,31.39,32.12,0.42,0.42,0.21,0,34.68,7.32,0.88,3,5,8,6,0,0,21
1220321800,544.41,31.67,32.36,0.65,0.65,0.32,0,49.64,7.3,0.88,3,14,14,3,0,0,21
1220321900,161.39,17.46,18.2,0.37,0.37,0.18,0,19.13,6.98,0.84,2,0,6,9,0,0,21
1220322000,239.47,16.78,17.46,0.54,0.54,0.26,0,26.54,7.28,0.87,5,5,9,9,0,0,21
1220322100,154.24,16.79,17.6,0.35,0.35,0.17,0,21.77,7.17,0.86,5,1,4,8,0,0,21
1220322200,181.09,15.94,16.66,0.42,0.42,0.2,0,17.66,7.48,0.9,2,5,9,6,0,0,21
1220322400,223.45,44.28,46.65,0.66,0.66,0.32,0,51.31,2.12,0.76,0,5,5,0,0,0,21
1220322500,2122.98,63.25,64.54,4.14,4.14,2.04,1379,1528.67,2.28,0.27,0,8,33,24,0,0,21
1220322600,644.79,19,19.72,1.26,1.26,0.61,0,64.54,7.47,0.9,11,11,23,22,0,0,21
1220322700,158.63,39.1,40.28,0.18,0.18,0.09,20,38.12,6.16,0.74,3,0,1,4,0,0,21
1220322800,353.67,34.09,34.77,0.4,0.4,0.2,0,34.39,7.13,0.86,3,5,8,5,0,0,21
1220322900,139.69,15.05,15.85,0.36,0.36,0.17,3,22.1,7.2,0.86,2,3,7,6,0,0,21
1220323000,239.51,17.01,17.73,0.58,0.58,0.28,0,37.38,6.72,0.81,11,1,3,13,0,0,21
1220323100,243.96,21.72,22.59,0.46,0.46,0.22,0,31.27,6.74,0.81,6,1,5,10,0,0,21
1220323200,42.9,21.41,22.19,0.08,0.08,0.04,0,7.4,6.87,0.82,2,0,0,2,0,0,21
1220323300,985.82,37.46,38.33,0.98,0.98,0.49,0,111.83,7.39,0.89,12,11,14,15,0,0,21
1220323400,429.86,38.73,39.43,0.43,0.43,0.21,0,41.17,7.18,0.86,2,8,9,3,0,0,21
1220323500,630.78,10.81,11.55,1.98,1.98,0.93,57,160.36,8.1,0.73,2,35,53,20,0,0,21
1220323600,511.42,9.88,10.6,1.6,1.6,0.76,0,81.09,8.82,0.79,9,13,40,36,0,0,21
1220323700,654.84,22.47,23.66,0.87,0.87,0.42,0,92.19,9.08,0.82,13,6,15,22,0,0,21
1220323800,933.26,21.5,22.12,1.24,1.24,0.6,0,105.11,9.71,0.87,19,0,24,43,0,0,21
1220329100,170.97,28.22,29.08,0.23,0.23,0.11,0,23.6,7.28,0.87,5,0,1,6,0,0,21
1220329200,335.82,27.68,28.4,0.45,0.45,0.22,0,35.55,7.43,0.89,5,6,7,6,0,0,21
1220329300,563.76,27.57,28.35,0.77,0.77,0.38,0,53.25,7.35,0.88,4,11,16,9,0,0,21
1220329400,162.07,26.57,27.2,0.22,0.22,0.11,0,12.22,7.64,0.92,0,6,6,0,0,0,21
1220329500,187.79,18.37,19.05,0.39,0.39,0.19,0,16.76,7.33,0.88,0,10,10,0,0,0,21
1220329600,413.75,17.66,18.33,0.85,0.85,0.42,0,44.46,7.61,0.91,6,17,17,6,0,0,21
1220329700,168.46,20.65,21.28,0.29,0.29,0.14,0,16.4,7.8,0.94,2,5,6,3,0,0,21
1220330700,198.7,24.54,25.74,0.41,0.41,0.2,34,66.11,5.42,0.65,6,2,2,6,0,0,21
1220330800,502.67,18.4,19.33,1.26,1.26,0.61,42,131.59,5.97,0.72,19,6,7,21,0,0,21
1220330900,448.66,10.8,11.42,1.06,1.06,0.51,0,96.93,10.73,0.77,15,9,25,31,0,0,21
1220331000,728.48,15.66,17.41,1.73,1.73,0.82,136,342.96,7.01,0.5,5,0,37,43,0,0,21
1220331900,394.37,22.39,23.46,0.76,0.76,0.37,26,81.45,6.36,0.76,3,9,14,8,0,0,21
1220332000,767.67,22.03,22.82,1.39,1.39,0.68,8,99.44,6.92,0.83,9,4,25,30,0,0,21
1220332100,708.3,79.37,80.96,1.18,1.18,0.59,0,164.31,2.11,0.76,7,2,2,7,0,0,21
1220332200,158.57,80.2,81.72,0.26,0.26,0.13,0,39.83,2.1,0.75,2,0,0,2,0,0,21
1220332700,140.39,13.7,14.67,0.46,0.46,0.22,2,28.62,6.07,0.73,3,0,6,10,0,0,21
1220332800,275.28,11.94,12.7,0.91,0.91,0.43,0,32.07,7.01,0.84,5,2,17,20,0,0,21
1220333300,386.75,12.52,13,0.85,0.85,0.41,0,38.11,10.12,0.91,2,28,28,2,0,0,21
1220333400,282.51,13.71,14.37,0.62,0.62,0.3,0,45.56,9.11,0.82,7,10,13,10,0,0,21
1220333500,644.43,11.89,12.8,2.08,2.08,0.99,90,214.45,7.12,0.64,12,2,39,49,0,0,21
1220333600,382.06,8.4,8.9,1.23,1.23,0.58,0,28.57,10.25,0.92,0,14,43,29,0,0,21
1220333900,726.85,14.09,14.89,1.55,1.55,0.72,0,110.09,9.1,0.82,1,7,48,42,0,0,21
1220334000,232.61,13.31,13.8,0.5,0.5,0.24,0,19.76,9.81,0.88,3,12,14,5,0,0,21
1220334100,113.22,10.66,11.36,0.36,0.36,0.17,16,28.84,8.15,0.73,0,6,10,4,0,0,21
1220334200,734.02,9.4,10.54,2.26,2.26,1.05,0,120.1,9.05,0.81,4,17,66,53,0,0,21
1220341900,3024.06,46.24,46.91,1.47,1.47,0.73,5,276.31,12.28,0.88,11,10,54,54,0,0,21
1220342000,78.87,3.12,3.54,0.59,0.15,0.07,0,30.04,11.87,0.53,6,1,17,22,18,18,21
1220342100,110.09,17.91,18.35,0.14,0.14,0.07,0,6.24,12.19,0.88,0,5,6,1,0,0,21
1220342200,39.82,6.46,6.74,0.13,0.03,0.02,0,17.28,12.94,0.58,1,0,5,6,0,0,21
1220342300,275.82,28.74,28.97,0.13,0.03,0.02,0,26.03,20.69,0.93,3,3,6,7,10,10,21
1220342500,165.22,23.14,23.64,0.1,0.02,0.01,0,14.72,20.2,0.91,1,1,6,6,6,6,21
1220342600,629.73,17.24,17.49,0.49,0.49,0.24,0,36.25,20.85,0.94,0,0,36,36,0,0,21
1220342800,635.22,15.18,15.5,0.55,0.14,0.07,0,25.36,21.1,0.95,0,7,41,34,1,1,21
1220342900,254.47,8.95,9.19,0.41,0.1,0.05,0,33.15,19.22,0.87,6,8,22,19,0,0,21
1220343000,1257.17,30.43,30.66,0.53,0.13,0.07,0,36.27,21.52,0.97,0,0,41,41,17,17,21
1220345701,2304.25,33.99,34.63,1.86,1.86,0.92,0,177.37,10.09,0.91,11,6,54,62,0,0,21
1220345801,315.25,14.1,14.33,0.36,0.09,0.04,0,67.27,17.53,0.79,0,0,22,22,15,15,21
1220345901,2492.02,27.89,28.3,1.23,0.2,0.1,0,215.55,20.12,0.91,9,13,79,76,60,60,21
1230004503,18.34,2.88,3.13,0.09,0.02,0.01,0,0.78,20.59,0.93,0,6,6,0,0,0,21
1210005600,313.85,25.67,26.53,0.31,0.31,0.15,4,60.08,10.89,0.78,9,3,3,9,0,0,22
1210005702,370.13,5.59,5.97,1.54,0.51,0.24,0,46.36,12.05,0.87,0,4,62,58,72,72,22
1210006000,91.41,21.96,22.85,0.12,0.06,0.03,6,17.7,9.61,0.86,0,0,4,4,0,0,22
1210006202,433.02,6.32,6.71,1.55,0.39,0.18,0,44.36,12.29,0.88,7,0,58,65,9,9,22
1210006302,492.93,6.32,6.69,1.64,1.64,0.78,0,27.29,13.24,0.95,0,25,74,49,0,0,22
1210029403,83.31,6.15,6.46,0.24,0.12,0.06,0,7.27,15.6,0.94,0,13,13,0,0,0,22
1210030001,2314.26,16.78,17.66,3.5,0.7,0.34,162,504.76,10.68,0.77,0,2,131,129,271,271,22
1210030002,2570.99,37.47,37.85,1.48,0.37,0.18,0,142.5,12.91,0.93,7,12,61,56,28,28,22
1210030102,1882.76,14.34,14.72,2.82,0.7,0.34,0,123.76,12.94,0.93,3,7,125,121,15,15,22
1210030103,2339.97,33.01,33.39,1.49,0.5,0.25,0,132.37,13.19,0.95,2,0,68,71,11,11,22
1210030203,199.28,8.53,9.37,0.88,0.29,0.14,0,81.66,7.27,0.52,23,0,0,23,46,46,22
1210030304,163.98,6.27,7.13,0.75,0.25,0.11,0,41.4,9.24,0.67,0,0,23,23,45,45,22
1210030501,412.75,7.16,7.54,1.42,0.47,0.22,0,72.9,11.38,0.82,3,0,52,55,30,30,22
1210030601,590.41,28.14,28.49,0.43,0.09,0.04,0,96.29,13.63,0.82,21,0,0,21,3,3,22
1210030701,108.03,26.77,27.07,0.07,0.01,0.01,0,4.71,16.06,0.96,0,4,4,0,0,0,22
1210065000,2485.26,31.62,32,1.69,1.69,0.83,0,138.19,12.92,0.93,0,3,77,75,0,0,22
1210065300,227.03,11.88,12.63,0.7,0.35,0.17,0,72.74,7.54,0.68,19,0,0,19,0,0,22
1210065800,2673.3,86.73,87.23,0.87,0.87,0.43,0,220.11,9.89,0.89,0,5,31,25,0,0,22
1210066200,434.1,11.74,12.23,1.08,0.54,0.26,0,54.52,9.55,0.86,11,1,25,35,11,11,22
1210067200,344.53,8.28,8.94,1.32,1.32,0.62,0,74.48,8.68,0.78,9,2,31,37,0,0,22
1210178700,363.85,4.85,5.23,1.69,0.56,0.26,0,37.64,12.38,0.89,6,0,64,70,8,8,22
1210178800,1056.33,11.05,11.74,2.12,0.71,0.34,0,86.43,12.21,0.88,0,3,90,87,0,0,22
1220002202,3838.25,67.82,69.15,1.96,0.49,0.24,1648,1966.53,7.94,0.48,1,4,54,53,54,54,22
1220002302,5249.73,79.96,80.95,2.68,0.54,0.27,2703,3100.72,6.79,0.41,13,2,52,62,116,116,22
1220002700,8332.35,55.56,56.94,4.52,1.13,0.56,2801,3696.72,9.08,0.54,2,6,145,139,118,118,22
1220002800,5389.59,32.62,32.96,2.92,0.58,0.29,0,292.11,15.69,0.94,4,5,158,160,272,272,22
1220003000,367.85,91.86,92.21,0.05,0.02,0.01,0,33.19,20.63,0.93,4,0,0,4,0,0,22
1220003101,1348,5.59,6.08,4.54,1.13,0.53,0,134.86,14.4,0.86,1,9,221,213,29,29,22
1220003102,1887.39,8.08,8.43,4.19,1.05,0.5,0,118.49,15.45,0.93,7,0,217,224,55,55,22
1220003103,1181.4,4.72,5.07,4.48,1.12,0.52,0,68.59,15.43,0.93,0,5,233,228,48,48,22
1220003104,3193.12,10.51,10.93,5.49,1.37,0.66,0,229.08,15.25,0.91,6,6,285,286,96,96,22
1220003201,1467.13,5.37,5.7,4.94,0.99,0.47,0,108.28,15.35,0.92,4,8,254,250,93,93,22
1220003202,2144.81,8,8.32,4.76,0.95,0.46,0,123.72,15.64,0.94,4,5,256,251,94,94,22
1220003203,1362.21,4.73,5.07,5.16,1.03,0.48,0,83.79,15.44,0.93,0,9,269,260,54,54,22
1220003204,3656.57,10.72,11.1,6.28,0.9,0.43,0,296.5,15.02,0.9,3,21,325,311,210,210,22
1220003302,18237.14,39.64,40.17,9.91,1.65,0.82,0,1076.73,12.85,0.93,5,8,450,446,681,681,22
1220003303,5037.2,10.83,11.22,10.05,2.01,0.97,0,308.93,12.85,0.93,9,17,441,431,412,412,22
1220003402,18649.29,39.44,39.87,10.13,1.69,0.84,0,1030.1,12.95,0.93,2,11,464,456,1267,1267,22
1220003403,8534.49,17.9,19.06,17.02,2.43,1.17,2375,3776.56,7.57,0.55,9,5,439,442,475,475,22
1220003501,320.07,79.19,80.02,0.11,0.11,0.05,0,18.98,10.64,0.96,0,0,4,4,0,0,22
1220004001,4995.25,12.02,13.17,17.84,2.55,1.21,1646,2693.05,6.29,0.45,0,11,380,368,185,185,22
1220004002,18798.94,48.56,48.95,8.34,1.39,0.69,0,1016.93,12.9,0.93,13,3,372,380,934,934,22
1220004101,2291.47,6,6.4,8.19,1.64,0.77,0,143.69,12.94,0.93,5,15,353,345,250,250,22
1220004102,16693.98,47.83,48.27,7.4,1.23,0.61,0,893.05,13.08,0.94,6,2,340,346,1793,1793,22
1220004201,9833.32,34.45,34.88,6.12,0.87,0.43,0,552.62,12.94,0.93,9,5,273,279,788,788,22
1220004202,1138.22,3.97,4.37,6.42,1.07,0.49,0,100.59,12.42,0.89,11,3,249,259,40,40,22
1220004203,473.96,10.65,11.43,1.26,0.25,0.12,7,143.96,9.55,0.69,10,3,32,39,28,28,22
1220004302,8972.78,53.68,54.63,16.51,2.36,1.17,6344,7112.7,2.85,0.21,24,7,141,158,209,209,22
1220004304,7207.05,29.48,29.87,5.17,0.74,0.36,0,377.74,13.12,0.94,5,5,234,238,565,565,22
1220004305,888.46,4.64,5.06,4.19,0.7,0.32,5,72.22,12.63,0.91,4,14,172,162,23,23,22
1220004401,212.68,10.96,11.2,0.25,0.06,0.03,0,6.72,21.29,0.96,0,7,19,12,0,0,22
1220004501,426.8,29.86,30.1,0.2,0.05,0.03,0,36.52,19.48,0.88,1,0,14,15,35,35,22
1220004502,2207.75,25.59,25.86,1.18,0.24,0.12,0,153.3,20.35,0.92,5,13,79,73,54,54,22
1220004600,434.04,18.07,18.67,0.52,0.52,0.25,0,50.63,12.65,0.91,2,4,21,20,0,0,22
1220004700,715.34,24.34,24.75,0.65,0.65,0.32,0,51.15,12.53,0.9,6,10,23,19,0,0,22
1220004801,115.55,24,24.95,0.5,0.17,0.08,64,91.97,2.77,0.2,5,0,0,5,1,1,22
1220004802,53.86,27.02,27.43,0.05,0.02,0.01,0,8.51,10.29,0.74,2,0,0,2,0,0,22
1220004902,174.36,24.63,24.99,0.14,0.05,0.02,0,7.32,13.82,0.99,0,7,7,0,0,0,22
1220005401,4165.71,73.01,73.35,0.76,0.15,0.08,0,220.51,20.72,0.93,8,8,48,49,49,49,22
1220005402,472.2,26.01,26.25,0.24,0.05,0.02,0,20.65,20.68,0.93,1,6,17,12,0,0,22
1220005502,3718.84,52.27,52.57,0.93,0.19,0.09,0,148.68,21.12,0.95,6,4,65,66,71,71,22
1220005503,2247.52,35.13,35.37,0.84,0.21,0.1,0,94.26,21.12,0.95,6,0,55,64,2,2,22
1220005601,917.52,16.44,16.69,0.82,0.2,0.1,0,114.54,18.99,0.85,2,3,53,52,38,38,22
1220005603,633.79,43.77,44,0.19,0.05,0.02,0,32.97,20.92,0.94,3,6,12,9,1,1,22
1220005701,1391.87,34.01,34.37,0.55,0.14,0.07,0,82.03,20.61,0.93,4,6,36,35,1,1,22
1220005703,431.92,28.61,28.84,0.2,0.05,0.02,0,26.33,20.91,0.94,3,0,12,15,0,0,22
1220010202,480.21,14.38,15.23,0.75,0.37,0.18,0,46.29,12.03,0.87,3,0,28,32,14,14,22
